# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
2248                	9.173222699870e-05	1.783449680920e-04	1.440957814430e-04	1.564635407230e-04
2249                	8.839928451930e-05	1.783130968590e-04	1.443780860250e-04	1.596220782060e-04
2250                	9.173287139550e-05	1.782415103090e-04	1.440959229570e-04	1.564634566510e-04
2251                	8.840134929990e-05	1.782096805020e-04	1.443782423150e-04	1.596209693660e-04
2252                	9.173351894770e-05	1.781381741080e-04	1.440960637390e-04	1.564633822050e-04
2253                	8.840344097460e-05	1.781063856660e-04	1.443783839080e-04	1.596198498910e-04
2254                	9.173413960070e-05	1.780349605120e-04	1.440961917720e-04	1.564633035550e-04
2255                	8.840553599030e-05	1.780032148740e-04	1.443785198370e-04	1.596187157480e-04
2256                	9.173477856870e-05	1.779318703290e-04	1.440963147350e-04	1.564632295390e-04
2257                	8.840764671410e-05	1.779001664550e-04	1.443786542020e-04	1.596175862990e-04
2258                	9.173543192140e-05	1.778289020810e-04	1.440964372310e-04	1.564631716880e-04
2259                	8.840978356980e-05	1.777972405270e-04	1.443787912110e-04	1.596164506690e-04
2260                	9.173612401240e-05	1.777260565050e-04	1.440965646530e-04	1.564631195310e-04
2261                	8.841197592070e-05	1.776944372340e-04	1.443789625440e-04	1.596153283700e-04
2262                	9.173684683960e-05	1.776233333410e-04	1.440967087210e-04	1.564630768000e-04
2263                	8.841418196130e-05	1.775917570130e-04	1.443790915730e-04	1.596141695570e-04
2264                	9.173754650930e-05	1.775207338670e-04	1.440967988980e-04	1.564629906140e-04
2265                	8.841640923940e-05	1.774891999100e-04	1.443792097170e-04	1.596129997660e-04
2266                	9.173825358260e-05	1.774182573640e-04	1.440968817340e-04	1.564629226320e-04
2267                	8.841862216320e-05	1.773867654970e-04	1.443793445810e-04	1.596118433490e-04
2268                	9.173893836680e-05	1.773159021690e-04	1.440969929800e-04	1.564628595450e-04
2269                	8.842079013470e-05	1.772844520220e-04	1.443794951380e-04	1.596106869300e-04
2270                	9.173957748570e-05	1.772136673600e-04	1.440970991660e-04	1.564627949330e-04
2271                	8.842293087960e-05	1.771822620810e-04	1.443796351680e-04	1.596095273410e-04
2272                	9.174015823450e-05	1.771115556650e-04	1.440972173310e-04	1.564627316580e-04
2273                	8.842503564960e-05	1.770801919060e-04	1.443797727240e-04	1.596083601820e-04
2274                	9.174069958260e-05	1.770095637670e-04	1.440973430190e-04	1.564626787100e-04
2275                	8.842715993550e-05	1.769782431790e-04	1.443798973370e-04	1.596072016890e-04
2276                	9.174125086660e-05	1.769076942940e-04	1.440974576910e-04	1.564626456090e-04
2277                	8.842930412050e-05	1.768764154210e-04	1.443800144770e-04	1.596060368840e-04
2278                	9.174179805080e-05	1.768059447030e-04	1.440975828960e-04	1.564626068310e-04
2279                	8.843146589460e-05	1.767747064430e-04	1.443801276340e-04	1.596048675370e-04
2280                	9.174232763440e-05	1.767043127730e-04	1.440976846450e-04	1.564625578460e-04
2281                	8.843357474650e-05	1.766731155370e-04	1.443802282630e-04	1.596037517630e-04
2282                	9.174279014680e-05	1.766027992160e-04	1.440977650620e-04	1.564624939840e-04
2283                	8.843569959750e-05	1.765716433370e-04	1.443803130320e-04	1.596026369890e-04
2284                	9.174327698630e-05	1.765014050220e-04	1.440978154320e-04	1.564624131590e-04
2285                	8.843788400590e-05	1.764702924070e-04	1.443803811880e-04	1.596015302870e-04
2286                	9.174378209300e-05	1.764001321150e-04	1.440978616990e-04	1.564623290110e-04
2287                	8.844007479440e-05	1.763690611440e-04	1.443804446680e-04	1.596004014390e-04
2288                	9.174419649370e-05	1.762989788060e-04	1.440978981360e-04	1.564622366930e-04
2289                	8.844228999050e-05	1.762679514200e-04	1.443804864520e-04	1.595992656280e-04
2290                	9.174466991190e-05	1.761979463580e-04	1.440979405690e-04	1.564621440690e-04
2291                	8.844453323460e-05	1.761669622360e-04	1.443805436550e-04	1.595981273450e-04
2292                	9.174520114780e-05	1.760970340250e-04	1.440979610570e-04	1.564620435070e-04
2293                	8.844675940790e-05	1.760660902220e-04	1.443805900970e-04	1.595969680080e-04
2294                	9.174572603820e-05	1.759962398760e-04	1.440979893670e-04	1.564619346770e-04
2295                	8.844897869580e-05	1.759653375280e-04	1.443806349190e-04	1.595958071130e-04
2296                	9.174620235370e-05	1.758955653040e-04	1.440980146060e-04	1.564618154530e-04
2297                	8.845115797270e-05	1.758647044560e-04	1.443806758050e-04	1.595946195750e-04
2298                	9.174667476990e-05	1.757950095570e-04	1.440980228490e-04	1.564616959380e-04
2299                	8.845330524980e-05	1.757641901840e-04	1.443807226420e-04	1.595934328780e-04
2300                	9.174714376130e-05	1.756945720540e-04	1.440981983390e-04	1.564615490450e-04
2301                	8.845543212770e-05	1.756637941310e-04	1.443807602790e-04	1.595922293370e-04
2302                	9.174760618350e-05	1.755942525940e-04	1.440984493050e-04	1.564614039050e-04
2303                	8.845757853410e-05	1.755635161020e-04	1.443807996610e-04	1.595910222460e-04
2304                	9.174810347980e-05	1.754940512370e-04	1.440986915080e-04	1.564612511640e-04
2305                	8.845973464020e-05	1.754633547730e-04	1.443808369860e-04	1.595898020240e-04
2306                	9.174856587480e-05	1.753939666890e-04	1.440989251330e-04	1.564610913570e-04
2307                	8.846188400750e-05	1.753633114630e-04	1.443808519030e-04	1.595885844600e-04
2308                	9.174901666620e-05	1.752939996130e-04	1.440991664390e-04	1.564609438230e-04
2309                	8.846405030230e-05	1.752633832890e-04	1.443808660010e-04	1.595873598070e-04
2310                	9.174945616470e-05	1.751941485710e-04	1.440994052250e-04	1.564607947070e-04
2311                	8.846622642920e-05	1.751635750950e-04	1.443808771670e-04	1.595861275460e-04
2312                	9.174989532510e-05	1.750944173820e-04	1.440996217850e-04	1.564606336320e-04
2313                	8.846838208880e-05	1.750638817480e-04	1.443808668210e-04	1.595848763620e-04
2314                	9.175035135980e-05	1.749948029380e-04	1.440998403490e-04	1.564604835040e-04
2315                	8.847051962920e-05	1.749643027870e-04	1.443808486760e-04	1.595836343780e-04
2316                	9.175080160470e-05	1.748953042070e-04	1.441000455110e-04	1.564603430340e-04
2317                	8.847267115000e-05	1.748648425500e-04	1.443808310440e-04	1.595823977160e-04
2318                	9.175121278180e-05	1.747959238360e-04	1.441002691810e-04	1.564602174780e-04
2319                	8.847477501310e-05	1.747654982490e-04	1.443808474920e-04	1.595811621560e-04
2320                	9.175158257550e-05	1.746966585490e-04	1.441004874160e-04	1.564600803560e-04
2321                	8.847686179940e-05	1.746662702780e-04	1.443808506960e-04	1.595799185230e-04
2322                	9.175190199000e-05	1.745975103300e-04	1.441007204830e-04	1.564599309740e-04
2323                	8.847895610030e-05	1.745671582120e-04	1.443808519580e-04	1.595786628480e-04
2324                	9.175217078370e-05	1.744984783140e-04	1.441009277350e-04	1.564597764850e-04
2325                	8.848106044630e-05	1.744681616430e-04	1.443808256380e-04	1.595773992350e-04
2326                	9.175242751470e-05	1.743995619090e-04	1.441011284060e-04	1.564596171640e-04
2327                	8.848316138950e-05	1.743692811360e-04	1.443807902480e-04	1.595761189770e-04
2328                	9.175268663030e-05	1.743007612880e-04	1.441013184920e-04	1.564594610400e-04
2329                	8.848526973320e-05	1.742705160890e-04	1.443807574750e-04	1.595748387310e-04
2330                	9.175297184330e-05	1.742020761800e-04	1.441015154910e-04	1.564593170430e-04
2331                	8.848738277050e-05	1.741718663490e-04	1.443807243810e-04	1.595735597520e-04
2332                	9.175329309310e-05	1.741035059560e-04	1.441017222950e-04	1.564591628670e-04
2333                	8.848951801600e-05	1.740733319710e-04	1.443806815010e-04	1.595722632860e-04
2334                	9.175362911340e-05	1.740050514270e-04	1.441018760210e-04	1.564589754400e-04
2335                	8.849165885070e-05	1.739749148990e-04	1.443805973780e-04	1.595709337880e-04
2336                	9.175397299550e-05	1.739067135080e-04	1.441020134980e-04	1.564587895230e-04
2337                	8.849378405510e-05	1.738766109560e-04	1.443805292600e-04	1.595696302990e-04
2338                	9.175431636890e-05	1.738084879240e-04	1.441021859640e-04	1.564586220380e-04
2339                	8.849591296900e-05	1.737784218910e-04	1.443807603320e-04	1.595683207670e-04
2340                	9.175464565880e-05	1.737103772500e-04	1.441023590370e-04	1.564584527130e-04
2341                	8.849802120150e-05	1.736803456010e-04	1.443809842470e-04	1.595669981580e-04
2342                	9.175494659590e-05	1.736123793860e-04	1.441025248020e-04	1.564582764460e-04
2343                	8.850011320280e-05	1.735823840830e-04	1.443811997760e-04	1.595656643430e-04
