# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
1895                	5.456016413910e-04	2.080702497540e-04	2.216258238630e-04	1.380394297000e-04
1896                	5.401358495570e-04	2.028671336400e-04	2.101891354760e-04	1.381601401530e-04
1897                	4.971786210570e-04	2.035910208790e-04	2.109622188350e-04	1.380240338240e-04
1898                	5.205079864710e-04	1.967117930670e-04	2.067441254870e-04	1.376568982680e-04
1899                	4.971500951380e-04	2.083404264260e-04	2.179839475820e-04	1.372916101000e-04
1900                	5.253906547230e-04	2.085269231320e-04	2.126834376900e-04	1.374374255150e-04
1901                	5.107357392580e-04	2.224634611920e-04	2.242974354060e-04	1.372465227650e-04
1902                	5.462590472680e-04	2.156256149400e-04	2.152464006330e-04	1.367488415120e-04
1903                	5.294507389500e-04	2.290607001720e-04	2.174431499130e-04	1.370925638330e-04
1904                	5.363054290840e-04	2.204114868770e-04	2.084367343640e-04	1.371246407090e-04
1905                	5.211452239550e-04	2.132373851160e-04	2.210723433730e-04	1.363555125450e-04
1906                	5.122488640340e-04	2.169405724520e-04	2.249827357220e-04	1.361273091610e-04
1907                	4.871191323580e-04	2.148692252910e-04	2.219675357860e-04	1.355917759890e-04
1908                	5.476611292840e-04	2.237224198370e-04	2.401358270640e-04	1.368295629870e-04
1909                	6.465780969720e-04	2.529684439340e-04	2.604495710300e-04	1.372575174750e-04
1910                	6.257803991280e-04	2.463204953490e-04	2.508622354620e-04	1.367488790300e-04
1911                	5.618279726540e-04	2.365380099990e-04	2.418909748360e-04	1.364352255050e-04
1912                	5.615185783610e-04	2.309075125440e-04	2.331938712240e-04	1.359398119160e-04
1913                	5.298868042680e-04	2.243727108070e-04	2.293567314690e-04	1.357229446390e-04
1914                	5.237313783180e-04	2.275054234250e-04	2.142264002430e-04	1.360206040930e-04
1915                	5.392259411770e-04	2.329256030930e-04	2.199357085270e-04	1.361436737200e-04
1916                	5.500653212550e-04	2.144996249450e-04	2.151482596070e-04	1.364910635040e-04
1917                	5.194991716130e-04	2.099374636990e-04	2.186192381250e-04	1.374443286770e-04
1918                	5.279365716590e-04	2.090615599520e-04	2.111558203030e-04	1.372773421460e-04
1919                	5.214251205990e-04	2.158285205780e-04	2.126270585020e-04	1.379977574730e-04
1920                	5.540035047140e-04	2.051230644750e-04	2.037652889360e-04	1.388358162770e-04
1921                	5.565310435390e-04	2.309947888790e-04	2.130090400900e-04	1.392882402240e-04
1922                	5.730931034870e-04	2.282015620520e-04	2.136293095210e-04	1.395794935510e-04
1923                	5.768637921610e-04	2.199214517820e-04	2.103906223640e-04	1.392659447580e-04
1924                	5.900893764010e-04	2.271841556580e-04	2.194602416180e-04	1.396901340090e-04
1925                	5.614927482430e-04	2.326646280540e-04	2.242902546130e-04	1.391205661030e-04
1926                	6.193601704520e-04	2.335449512370e-04	2.265951422060e-04	1.376319847870e-04
1927                	5.936774903760e-04	2.407202195310e-04	2.445735570230e-04	1.358615691700e-04
1928                	6.104968016870e-04	2.450607192570e-04	2.409102867690e-04	1.352790538050e-04
1929                	6.032040151480e-04	2.366067047550e-04	2.432192224950e-04	1.335214190830e-04
1930                	6.168058761060e-04	2.475954051320e-04	2.423352688450e-04	1.326072351580e-04
1931                	5.885348735490e-04	2.455323441860e-04	2.532381764360e-04	1.318344930690e-04
1932                	6.316948065520e-04	2.392967823030e-04	2.457225543560e-04	1.301423625680e-04
1933                	5.731543583030e-04	2.360734359530e-04	2.502840078040e-04	1.292547753840e-04
1934                	5.793673613810e-04	2.287081388190e-04	2.393649155350e-04	1.285707828860e-04
1935                	5.872069099160e-04	2.110261511860e-04	2.290219796740e-04	1.277658122430e-04
1936                	6.122902142670e-04	2.166999004700e-04	2.306326818280e-04	1.279817193550e-04
1937                	5.866153801620e-04	2.230135434240e-04	2.318938620280e-04	1.276321882200e-04
1938                	6.174556545650e-04	2.261774569530e-04	2.336609021400e-04	1.279683871780e-04
1939                	5.862423316010e-04	2.316963193730e-04	2.263003045920e-04	1.283249127400e-04
1940                	6.117649456300e-04	2.335257343830e-04	2.179929935070e-04	1.281124007050e-04
1941                	5.591531505300e-04	2.292838627400e-04	2.290958963430e-04	1.292315291080e-04
1942                	6.149691920880e-04	2.314633596180e-04	2.178279894770e-04	1.291750760360e-04
1943                	5.599377587760e-04	2.298841180310e-04	2.278102726940e-04	1.303057610510e-04
1944                	5.992386803030e-04	2.193825060560e-04	2.215007817210e-04	1.316003395910e-04
1945                	6.130135218580e-04	2.310667790180e-04	2.419980495950e-04	1.322012943830e-04
1946                	6.021362444430e-04	2.244875577540e-04	2.302522636360e-04	1.328520690580e-04
1947                	6.059205210030e-04	2.275998175770e-04	2.377347390110e-04	1.329348358390e-04
1948                	6.083510806940e-04	2.296403538760e-04	2.301028803120e-04	1.336330185100e-04
1949                	6.080706427420e-04	2.264674709630e-04	2.278885819360e-04	1.338818441870e-04
1950                	5.886587571310e-04	2.147469972530e-04	2.208563770080e-04	1.342584093610e-04
1951                	5.600714700320e-04	2.193202350130e-04	2.206825265490e-04	1.329718182120e-04
1952                	5.613168146550e-04	2.306690639750e-04	2.250790520150e-04	1.335169964890e-04
1953                	6.021398882040e-04	2.466389923290e-04	2.341882315970e-04	1.342233179890e-04
1954                	6.160259060190e-04	2.468146026070e-04	2.347721549450e-04	1.336822654500e-04
1955                	5.715695133530e-04	2.429152188590e-04	2.375136504950e-04	1.335705692600e-04
1956                	5.801737354830e-04	2.341376423920e-04	2.263478723740e-04	1.329672997580e-04
1957                	5.966308777860e-04	2.511460375040e-04	2.228957267980e-04	1.334550429920e-04
1958                	6.297045542680e-04	2.385265035520e-04	2.281594277760e-04	1.332125130440e-04
1959                	5.696421166560e-04	2.285021058760e-04	2.309949924820e-04	1.331196020090e-04
1960                	5.721086621620e-04	2.303743824640e-04	2.258562058630e-04	1.318102917120e-04
1961                	4.972799093900e-04	2.331463205620e-04	2.345803172460e-04	1.320885478750e-04
1962                	5.227078883640e-04	2.236036580980e-04	2.206024474310e-04	1.315288872630e-04
1963                	5.339394962460e-04	2.333155977950e-04	2.447730653690e-04	1.321411187930e-04
1964                	5.856431275840e-04	2.196198107200e-04	2.276408442320e-04	1.314315307560e-04
1965                	5.596334825380e-04	2.228919731260e-04	2.269188025860e-04	1.322139460320e-04
1966                	5.498678201810e-04	2.169039969170e-04	2.161860933140e-04	1.316068873270e-04
1967                	6.230286305990e-04	2.233400912390e-04	2.407869550280e-04	1.325140076560e-04
1968                	6.009321171870e-04	2.177381017350e-04	2.244125659810e-04	1.326957051890e-04
1969                	5.675594168340e-04	2.318396062990e-04	2.328521436400e-04	1.338504010460e-04
1970                	5.259883906210e-04	2.098102413600e-04	2.131944880700e-04	1.330858650970e-04
1971                	5.319322426430e-04	2.016052891880e-04	2.092533941120e-04	1.341375231060e-04
1972                	5.425890103280e-04	2.148483595640e-04	2.095020634670e-04	1.343366840210e-04
1973                	5.719019332200e-04	2.119533692080e-04	2.143369542170e-04	1.347105392380e-04
1974                	5.730662814660e-04	2.113992097510e-04	2.175464387710e-04	1.353209033810e-04
1975                	5.940974647620e-04	2.397210356160e-04	2.352134515190e-04	1.365671567820e-04
1976                	6.064646890950e-04	2.232757542470e-04	2.223076623980e-04	1.364986068830e-04
1977                	5.510502720130e-04	2.184888440350e-04	2.184135430040e-04	1.351267272280e-04
1978                	5.952631593990e-04	2.282855292510e-04	2.212342170150e-04	1.354908913980e-04
1979                	6.072585042660e-04	2.337003248620e-04	2.268994857980e-04	1.358803076070e-04
1980                	5.792105205080e-04	2.218832145420e-04	2.154113100820e-04	1.345956457010e-04
1981                	5.276621772960e-04	2.179684722970e-04	2.185039843700e-04	1.347873325240e-04
1982                	6.051405743280e-04	2.094793404600e-04	2.151952140590e-04	1.348465793620e-04
1983                	5.308978795930e-04	2.063147235210e-04	2.223672633030e-04	1.343016640670e-04
1984                	6.076513625810e-04	2.223729954250e-04	2.316008452460e-04	1.351733132590e-04
1985                	5.670522865240e-04	2.201196143570e-04	2.305200593190e-04	1.354183588150e-04
1986                	6.505397979670e-04	2.379461121450e-04	2.446233704370e-04	1.352622708420e-04
1987                	5.894549669680e-04	2.300016696990e-04	2.311499130970e-04	1.344082776910e-04
1988                	5.669160645440e-04	2.234410777810e-04	2.200837857920e-04	1.343461750120e-04
1989                	5.586254985970e-04	2.182980458260e-04	2.250341574970e-04	1.348267352770e-04
1990                	5.622827554690e-04	2.160324543940e-04	2.097224625280e-04	1.340566358930e-04
1991                	5.670939162400e-04	2.089867240960e-04	2.135245068300e-04	1.331542415150e-04
1992                	5.847947645800e-04	2.056872661100e-04	2.160116940180e-04	1.321760642820e-04
1993                	5.490006647730e-04	2.214784480710e-04	2.159184135770e-04	1.322934042650e-04
1994                	5.137295831550e-04	2.092185219400e-04	2.144689661570e-04	1.316833278430e-04
1995                	4.965505717290e-04	2.063087378270e-04	2.149429715730e-04	1.312110316770e-04
1996                	5.314641867790e-04	2.003192252880e-04	2.136784167830e-04	1.318491253040e-04
1997                	5.172270864600e-04	2.085455795810e-04	2.204681011070e-04	1.320312859750e-04
1998                	6.143133283920e-04	2.109775712760e-04	2.115488797080e-04	1.322212762250e-04
1999                	5.656455158100e-04	2.137228224310e-04	2.166767040660e-04	1.326327116350e-04
2000                	5.712628810230e-04	2.158727300330e-04	2.064585195530e-04	1.327054147900e-04
2001                	5.526643411120e-04	2.237431316510e-04	2.174486025660e-04	1.330574835010e-04
2002                	6.320347634870e-04	2.081942200030e-04	2.002682219360e-04	1.330113500130e-04
