# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
4522                	2.832950764400e-03	8.815275458760e-03	8.822419206990e-03	9.480794445500e-03
4523                	2.832950764400e-03	8.815275458760e-03	8.822419206990e-03	9.480794445500e-03
4524                	2.832950764400e-03	8.815275458760e-03	8.822419206990e-03	9.480794445500e-03
4525                	2.832950764400e-03	8.815275458760e-03	8.822419206990e-03	9.480794445500e-03
4526                	2.832950764400e-03	8.815275458760e-03	8.822419206990e-03	9.480794445500e-03
4527                	2.832950764400e-03	8.815275458760e-03	8.822419206990e-03	9.480794445500e-03
4528                	2.832950764400e-03	8.815275458760e-03	8.822419206990e-03	9.480794445510e-03
4529                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4530                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4531                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4532                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4533                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4534                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4535                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4536                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4537                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4538                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4539                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4540                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4541                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4542                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4543                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4544                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4545                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4546                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4547                	2.832950764400e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4548                	2.832950764390e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4549                	2.832950764390e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4550                	2.832950764390e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4551                	2.832950764390e-03	8.815275458760e-03	8.822419206980e-03	9.480794445510e-03
4552                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445510e-03
4553                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445510e-03
4554                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445510e-03
4555                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445510e-03
4556                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445510e-03
4557                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445510e-03
4558                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445510e-03
4559                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445510e-03
4560                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4561                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4562                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4563                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4564                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4565                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4566                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4567                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4568                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4569                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4570                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4571                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4572                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4573                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4574                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4575                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4576                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4577                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4578                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4579                	2.832950764390e-03	8.815275458760e-03	8.822419206970e-03	9.480794445520e-03
4580                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4581                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4582                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4583                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4584                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4585                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4586                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4587                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4588                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4589                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4590                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4591                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4592                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4593                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4594                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4595                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4596                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4597                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4598                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4599                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4600                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4601                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4602                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445520e-03
4603                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4604                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4605                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4606                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4607                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4608                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4609                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4610                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4611                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4612                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4613                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4614                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4615                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4616                	2.832950764390e-03	8.815275458760e-03	8.822419206960e-03	9.480794445530e-03
4617                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4618                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4619                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4620                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4621                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4622                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4623                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4624                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4625                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4626                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4627                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4628                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4629                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4630                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4631                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4632                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4633                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4634                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4635                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4636                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4637                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4638                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4639                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4640                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4641                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4642                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4643                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4644                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4645                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4646                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4647                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4648                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4649                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4650                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4651                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4652                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4653                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4654                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4655                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4656                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4657                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4658                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4659                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4660                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
