# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
112                 	4.961355115400e-03	9.970102094570e-04	3.674613075110e-03	3.115401468940e-03
113                 	4.660972331330e-03	9.786749522230e-04	3.563709502250e-03	3.018817170800e-03
114                 	4.468879908730e-03	9.369897236930e-04	3.396519595220e-03	2.893295694990e-03
115                 	4.425267483770e-03	8.822658562420e-04	3.224227037150e-03	2.834104271760e-03
116                 	4.322553546520e-03	8.455357939450e-04	3.092856845910e-03	2.735177565430e-03
117                 	4.382675437230e-03	8.311494886420e-04	3.076651438360e-03	2.719050191150e-03
118                 	4.344618706950e-03	7.989063820830e-04	2.989634009020e-03	2.610802012110e-03
119                 	4.198460403150e-03	7.633403944410e-04	2.821329478970e-03	2.500775238870e-03
120                 	4.027737540310e-03	7.343943834590e-04	2.652146288810e-03	2.363955555090e-03
121                 	3.910852207700e-03	7.128262306430e-04	2.547185413970e-03	2.302743877030e-03
122                 	3.737755200060e-03	6.909200935830e-04	2.437484814650e-03	2.222949729900e-03
123                 	3.627406111750e-03	6.839753604160e-04	2.389791644900e-03	2.133471419760e-03
124                 	3.607606198400e-03	6.584282097090e-04	2.327430739160e-03	2.066243712820e-03
125                 	3.555742125150e-03	6.370769380130e-04	2.241436566420e-03	1.994057602040e-03
126                 	3.397779656450e-03	6.091727109630e-04	2.159809733360e-03	1.925793003330e-03
127                 	3.364769188780e-03	5.957470538640e-04	2.112196574880e-03	1.890182855950e-03
128                 	3.273585574370e-03	5.805226380720e-04	2.078284710600e-03	1.895488775210e-03
129                 	3.245804900100e-03	5.761898524710e-04	2.054816719460e-03	1.816598608880e-03
130                 	3.243188857350e-03	5.705835292290e-04	2.049285513490e-03	1.827907866090e-03
131                 	3.238819028120e-03	5.459742685430e-04	2.009291474920e-03	1.767902899430e-03
132                 	3.101795095930e-03	5.151730159000e-04	1.917746812080e-03	1.679619605600e-03
133                 	3.056679449700e-03	4.946148862960e-04	1.807625393450e-03	1.590906788220e-03
134                 	2.949738877500e-03	4.789167316860e-04	1.759921177250e-03	1.588698015020e-03
135                 	2.916821798730e-03	4.790380801930e-04	1.729083033870e-03	1.510867731790e-03
136                 	2.857465337050e-03	4.886347322270e-04	1.718846280710e-03	1.498442963470e-03
137                 	2.900703448870e-03	4.855290025890e-04	1.722176933340e-03	1.506920412930e-03
138                 	2.747358149530e-03	4.773048480000e-04	1.678004723610e-03	1.458683148920e-03
139                 	2.723265432890e-03	4.635688161770e-04	1.562627654160e-03	1.373907339360e-03
140                 	2.638998344280e-03	4.511961481580e-04	1.518616297520e-03	1.397047713620e-03
141                 	2.535090260620e-03	4.474742279040e-04	1.491308478260e-03	1.337094835080e-03
142                 	2.558356648390e-03	4.487281753180e-04	1.475102751430e-03	1.311942790110e-03
143                 	2.552200055060e-03	4.476361709890e-04	1.494150328020e-03	1.326677460390e-03
144                 	2.588175656070e-03	4.414461896710e-04	1.503068358140e-03	1.321601406190e-03
145                 	2.502734689990e-03	4.440895913290e-04	1.466418029580e-03	1.259047965580e-03
146                 	2.421633948320e-03	4.161200142160e-04	1.390672089420e-03	1.253140801710e-03
147                 	2.293554951810e-03	3.958605394790e-04	1.330042782660e-03	1.232451153460e-03
148                 	2.267705162730e-03	3.929938417650e-04	1.312596523100e-03	1.167022470680e-03
149                 	2.310744815020e-03	3.915863692140e-04	1.340471688260e-03	1.197296072470e-03
150                 	2.292315770200e-03	4.038806466990e-04	1.409934470950e-03	1.228664080410e-03
151                 	2.342809751760e-03	4.147526516520e-04	1.404120669250e-03	1.192001081600e-03
152                 	2.260701787990e-03	4.213636924900e-04	1.402521397400e-03	1.262549140250e-03
153                 	2.168670149330e-03	4.278873998250e-04	1.414770660940e-03	1.318059593060e-03
154                 	2.139350436550e-03	4.443242735210e-04	1.436205162710e-03	1.309860005090e-03
155                 	2.169769019220e-03	4.458497372810e-04	1.456792772660e-03	1.350880703650e-03
156                 	2.168901319830e-03	4.465484421520e-04	1.505175143760e-03	1.371478035560e-03
157                 	2.226177404210e-03	4.486106640660e-04	1.489009841710e-03	1.315186033920e-03
158                 	2.196266824010e-03	4.452619143440e-04	1.468518630380e-03	1.357751422250e-03
159                 	2.164460910170e-03	4.532426380150e-04	1.513237462050e-03	1.423410467120e-03
160                 	2.206034728310e-03	4.700880026500e-04	1.565254004020e-03	1.415687909410e-03
161                 	2.311685431370e-03	4.763274071400e-04	1.605180234410e-03	1.447884803410e-03
162                 	2.318411285910e-03	4.758310221930e-04	1.653629632040e-03	1.474355715360e-03
163                 	2.391489404240e-03	4.699543330130e-04	1.626078259710e-03	1.406432134850e-03
164                 	2.343177225910e-03	4.551543713850e-04	1.556032858240e-03	1.387629985260e-03
165                 	2.290130308990e-03	4.453461214680e-04	1.552304678830e-03	1.413695370920e-03
166                 	2.331083556450e-03	4.485527852830e-04	1.560562077240e-03	1.365927822650e-03
167                 	2.403667303970e-03	4.473714236080e-04	1.570118484740e-03	1.370067903930e-03
168                 	2.403004754310e-03	4.476627125600e-04	1.628755188410e-03	1.403078898500e-03
169                 	2.434865831510e-03	4.394751433520e-04	1.615491928470e-03	1.362145825470e-03
170                 	2.389967223880e-03	4.179325737480e-04	1.553053341370e-03	1.340729559170e-03
171                 	2.320967974560e-03	4.078162319760e-04	1.538628202290e-03	1.362566425410e-03
172                 	2.348518577620e-03	4.103173964340e-04	1.537059222960e-03	1.328640048860e-03
173                 	2.402835436090e-03	4.139188249390e-04	1.550358752430e-03	1.340383726750e-03
174                 	2.384878361660e-03	4.240400064870e-04	1.623724609620e-03	1.388486620470e-03
175                 	2.395288350050e-03	4.144740801380e-04	1.605235512880e-03	1.355880085370e-03
176                 	2.351797028060e-03	3.890165205650e-04	1.496090027030e-03	1.309688921320e-03
177                 	2.303173648100e-03	3.804038182720e-04	1.465332409120e-03	1.311505830030e-03
178                 	2.318591852150e-03	3.851478933480e-04	1.475191305250e-03	1.276746158620e-03
179                 	2.356494348890e-03	3.871776450070e-04	1.491751515410e-03	1.281757192610e-03
180                 	2.380379196750e-03	3.997465693150e-04	1.544534368190e-03	1.322902134420e-03
181                 	2.392892211740e-03	3.890306367440e-04	1.516755673550e-03	1.294082915110e-03
182                 	2.323816435580e-03	3.599566869460e-04	1.415494015690e-03	1.247236697080e-03
183                 	2.271407316030e-03	3.486391847710e-04	1.377683273500e-03	1.237793973390e-03
184                 	2.255212685000e-03	3.405147723580e-04	1.366738481620e-03	1.189297479070e-03
185                 	2.298541997490e-03	3.311142377380e-04	1.342685445940e-03	1.166804193290e-03
186                 	2.274815393420e-03	3.403218537290e-04	1.356953736800e-03	1.174533249430e-03
187                 	2.269228668130e-03	3.343344885450e-04	1.332230722890e-03	1.144608580800e-03
188                 	2.183324351160e-03	3.179389231210e-04	1.245498278110e-03	1.100754379000e-03
189                 	2.133695783920e-03	3.130374930840e-04	1.200979545100e-03	1.090360762860e-03
190                 	2.093796756380e-03	3.007721010580e-04	1.162820454590e-03	1.031024282810e-03
191                 	2.054327745140e-03	2.868494768690e-04	1.122850939840e-03	9.964641382500e-04
192                 	2.047166920570e-03	2.942202677660e-04	1.128872736080e-03	9.964577648330e-04
193                 	2.045666673850e-03	2.894584808230e-04	1.112834416990e-03	9.623111716920e-04
194                 	1.956879118660e-03	2.722580358980e-04	1.037017699890e-03	9.175110219300e-04
195                 	1.905367397240e-03	2.687250371440e-04	1.002261661890e-03	9.057679070550e-04
196                 	1.883133896710e-03	2.620460834340e-04	9.595778742600e-04	8.522498630360e-04
