# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
236                 	3.627740319180e-03	8.396275679650e-04	2.724622559590e-03	2.648136809300e-03
237                 	3.731227619010e-03	8.679253740480e-04	2.642334367970e-03	2.413846135800e-03
238                 	3.693984925200e-03	8.415509044010e-04	2.477178566440e-03	2.307103554640e-03
239                 	3.547794058440e-03	8.545613234510e-04	2.786707916780e-03	2.709950445300e-03
240                 	3.634005866430e-03	8.774442180900e-04	2.532108596330e-03	2.304202291070e-03
241                 	3.665639285940e-03	8.380049322870e-04	2.642665131600e-03	2.554665820600e-03
242                 	3.567473723680e-03	8.471998811530e-04	2.699744895400e-03	2.577895140810e-03
243                 	3.696749987770e-03	8.575110416860e-04	2.467151740610e-03	2.156410632150e-03
244                 	3.617658880130e-03	8.200347946120e-04	2.643603433320e-03	2.579681952670e-03
245                 	3.468045282130e-03	8.601716662760e-04	2.665848634180e-03	2.483321782210e-03
246                 	3.681126346020e-03	8.631961541780e-04	2.471093195080e-03	2.279944000980e-03
247                 	3.600847001310e-03	8.471993074000e-04	2.679361166760e-03	2.620475502400e-03
248                 	3.657869887710e-03	8.716708892910e-04	2.553859389970e-03	2.359621019410e-03
249                 	3.708935783140e-03	8.326940181110e-04	2.473554105000e-03	2.349573598500e-03
250                 	3.520247556200e-03	8.624030008040e-04	2.755292323610e-03	2.650483370060e-03
251                 	3.667989942010e-03	8.669087320990e-04	2.467602673760e-03	2.224359335180e-03
252                 	3.631682547190e-03	8.357616823940e-04	2.664265207670e-03	2.596766986770e-03
253                 	3.642961365860e-03	8.413518609840e-04	2.681398927470e-03	2.514401047500e-03
254                 	3.700805672640e-03	8.512828082020e-04	2.459536545400e-03	2.162081460950e-03
255                 	3.490737989080e-03	8.200006445950e-04	2.690544436530e-03	2.664677223770e-03
256                 	3.462904635540e-03	8.521782269740e-04	2.595049105210e-03	2.404799609130e-03
257                 	3.658165268930e-03	8.467900307340e-04	2.496779351560e-03	2.315005002980e-03
258                 	3.558714830610e-03	8.482926602930e-04	2.666344176260e-03	2.606683443920e-03
259                 	3.675408113470e-03	8.621257928490e-04	2.521423902610e-03	2.279490022350e-03
260                 	3.734658915030e-03	8.328197467590e-04	2.510403822170e-03	2.409620207490e-03
261                 	3.535317881950e-03	8.766786145060e-04	2.759948549260e-03	2.612920463630e-03
262                 	3.709556683590e-03	8.776894931750e-04	2.472474210420e-03	2.207038412210e-03
263                 	3.686401451630e-03	8.460224946290e-04	2.702564624270e-03	2.654146649710e-03
264                 	3.726940002630e-03	8.613755626020e-04	2.696363072340e-03	2.509250063050e-03
265                 	3.768910588180e-03	8.491338792330e-04	2.481783174290e-03	2.205285051150e-03
266                 	3.502504342650e-03	8.442009361820e-04	2.785038832660e-03	2.753766917390e-03
267                 	3.562470616280e-03	8.704308946700e-04	2.601424362310e-03	2.390736842390e-03
268                 	3.706739622630e-03	8.478703266950e-04	2.573733810650e-03	2.427851004550e-03
269                 	3.597889060850e-03	8.611280365050e-04	2.696320927590e-03	2.621063188260e-03
270                 	3.659265149160e-03	8.684007950270e-04	2.533820919130e-03	2.236253044860e-03
271                 	3.731654134020e-03	8.262718260040e-04	2.568924378290e-03	2.482776869250e-03
272                 	3.457807861910e-03	8.747797083300e-04	2.740576476440e-03	2.563676752840e-03
273                 	3.730432612110e-03	8.658092723630e-04	2.456686735730e-03	2.190805260910e-03
274                 	3.636706308740e-03	8.420233916910e-04	2.721257225640e-03	2.661248069950e-03
275                 	3.754026787010e-03	8.703859310330e-04	2.668880015590e-03	2.455341887250e-03
276                 	3.749581595970e-03	8.482580855840e-04	2.476144583360e-03	2.273317379110e-03
277                 	3.538805558120e-03	8.536248957920e-04	2.810458785550e-03	2.764510393120e-03
278                 	3.599581608060e-03	8.855860333530e-04	2.585495099520e-03	2.369700122340e-03
279                 	3.692838475320e-03	8.438829160220e-04	2.624840767510e-03	2.515970423960e-03
280                 	3.580998007740e-03	8.545931612660e-04	2.701186530230e-03	2.600977265480e-03
281                 	3.689465804350e-03	8.620876463410e-04	2.498513292870e-03	2.174096237350e-03
282                 	3.686660725210e-03	8.258237481250e-04	2.628061065690e-03	2.546795508510e-03
283                 	3.480761298850e-03	8.712594095770e-04	2.718972352190e-03	2.530996913740e-03
284                 	3.762481953790e-03	8.699217123620e-04	2.477436957880e-03	2.249712552400e-03
285                 	3.656234321060e-03	8.457500447220e-04	2.739792167160e-03	2.655085058810e-03
286                 	3.706807327710e-03	8.747743613690e-04	2.644333256350e-03	2.425687753940e-03
287                 	3.723247139780e-03	8.405368313490e-04	2.479834127800e-03	2.324705684730e-03
288                 	3.568474672680e-03	8.578397316360e-04	2.789975686700e-03	2.694171740080e-03
289                 	3.650627326760e-03	8.748679313690e-04	2.515575263570e-03	2.283495191750e-03
290                 	3.621295542240e-03	8.369919887290e-04	2.648638980360e-03	2.575334112720e-03
291                 	3.598857433660e-03	8.428477499570e-04	2.690185066180e-03	2.552852017670e-03
292                 	3.690239189340e-03	8.581494720440e-04	2.470599863230e-03	2.160732219410e-03
293                 	3.591656152440e-03	8.209290341720e-04	2.663684817650e-03	2.610380641470e-03
294                 	3.435827390990e-03	8.604239933440e-04	2.654974999650e-03	2.477151318970e-03
295                 	3.662816392610e-03	8.538505794840e-04	2.463939012660e-03	2.275960186400e-03
296                 	3.573734473640e-03	8.437716589630e-04	2.677235002800e-03	2.612687900030e-03
297                 	3.663441630570e-03	8.635870542170e-04	2.539201633350e-03	2.336038865870e-03
298                 	3.681717635260e-03	8.322631595990e-04	2.480896479790e-03	2.367123849440e-03
299                 	3.535506397080e-03	8.629006851600e-04	2.746325532980e-03	2.629261238890e-03
300                 	3.678313074210e-03	8.683519640410e-04	2.464790301130e-03	2.210551872270e-03
301                 	3.655849900790e-03	8.401317793690e-04	2.683384312750e-03	2.613140313990e-03
302                 	3.634013381730e-03	8.502565224600e-04	2.692813859140e-03	2.527861672460e-03
303                 	3.734360172580e-03	8.478702094830e-04	2.457963566040e-03	2.159597419010e-03
304                 	3.495860256680e-03	8.247412528510e-04	2.725191916490e-03	2.687847496870e-03
305                 	3.500602033510e-03	8.582851851300e-04	2.596921615420e-03	2.400061799910e-03
306                 	3.648852849260e-03	8.521580286150e-04	2.525369897800e-03	2.357479080210e-03
307                 	3.591425721090e-03	8.519264780630e-04	2.673197309530e-03	2.611982979040e-03
308                 	3.667373865310e-03	8.665486415670e-04	2.533078156730e-03	2.270737280820e-03
309                 	3.737604039610e-03	8.327800464610e-04	2.532861936270e-03	2.434946579200e-03
310                 	3.479870120580e-03	8.778513726610e-04	2.758469864380e-03	2.607380529640e-03
311                 	3.732477145370e-03	8.686447174930e-04	2.448964504020e-03	2.183525006530e-03
312                 	3.664090440470e-03	8.402044138750e-04	2.713987548910e-03	2.660205691150e-03
